Original Theme,Display Name,What It Means,Seller Action,Category
accommodation,Accommodation,Collectible product or theme,Monitor and curate relevant listings,travel
account sale,Account Sale,Collectible product or theme,Monitor and curate relevant listings,general
acquisition methods,Acquisition Methods,Collectible product or theme,Monitor and curate relevant listings,basketball
addiction,Addiction,Collectible product or theme,Monitor and curate relevant listings,pokemon
airline brands,Airline Brands,Collectible product or theme,Monitor and curate relevant listings,general
app bugs,App Bugs,Collectible product or theme,Monitor and curate relevant listings,football
art focus,Art Focus,Collectible product or theme,Monitor and curate relevant listings,magic_the_gathering
artist identification,Artist Identification,Collectible product or theme,Monitor and curate relevant listings,general
artist recognition,Artist Recognition,Collectible product or theme,Monitor and curate relevant listings,general
artwork,Artwork,Collectible product or theme,Monitor and curate relevant listings,general
augmented reality,Augmented Reality,Collectible product or theme,Monitor and curate relevant listings,basketball
authentication,Authentication,People verifying card authenticity,Partner with authentication services,pokemon
authenticity,Authenticity,Collectible product or theme,Monitor and curate relevant listings,pokemon
autograph cards,Autograph Cards,Collectible product or theme,Monitor and curate relevant listings,baseball
autograph parallels,Autograph Parallels,Collectible product or theme,Monitor and curate relevant listings,baseball
autographs,Autographs,Autographed card discussions,Promote authenticated autograph collections,general
availability,Availability,Collectible product or theme,Monitor and curate relevant listings,tcg
banning,Banning,Collectible product or theme,Monitor and curate relevant listings,magic_the_gathering
bargaining,Bargaining,Collectible product or theme,Monitor and curate relevant listings,gaming
base cards,Base Cards,Collectible product or theme,Monitor and curate relevant listings,general
baseball cards,Baseball Cards,Collectible product or theme,Monitor and curate relevant listings,baseball
battery_life,Battery_Life,Collectible product or theme,Monitor and curate relevant listings,general
binders,Binders,Collectible product or theme,Monitor and curate relevant listings,pokemon
booster boxes,Booster Boxes,Collectible product or theme,Monitor and curate relevant listings,tcg
booster packs,Booster Packs,Collectible product or theme,Monitor and curate relevant listings,tcg
box breaks,Box Breaks,Collectible product or theme,Monitor and curate relevant listings,general
brands,Brands,Collectible product or theme,Monitor and curate relevant listings,general
breaks,Breaks,Collectible product or theme,Monitor and curate relevant listings,general
bulk sale,Bulk Sale,Collectible product or theme,Monitor and curate relevant listings,basketball
