theme,display_theme,is_generic_theme,primary_category,category_badge_color,total_mentions,avg_sentiment,sentiment_category,trending_score,trend_status,opportunity_score,recommendation,recent_4w_mentions,previous_4w_mentions,momentum_4w,purchase_intent_ratio,quality_mentions,recency_days,theme_explanation,seller_action
accommodation,Accommodation,False,travel,#808080,5,1.0,Very Positive,51.69,RISING,73.18,HIGH PRIORITY - Curate Listings,5.0,0.0,500.0,100.0,5,2,Collectible product or theme,Monitor and curate relevant listings
account sale,Account Sale,False,general,#808080,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,9,Collectible product or theme,Monitor and curate relevant listings
acquisition methods,Acquisition Methods,False,basketball,#FF6600,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,8,Collectible product or theme,Monitor and curate relevant listings
addiction,Addiction,False,pokemon,#FFCB05,3,-1.0,Very Negative,43.02,STEADY,30.71,LOW PRIORITY - Track for Changes,3.0,0.0,300.0,0.0,3,10,Collectible product or theme,Monitor and curate relevant listings
airline brands,Airline Brands,False,general,#808080,8,0.0,Neutral,52.7,RISING,66.08,HIGH PRIORITY - Curate Listings,8.0,0.0,800.0,100.0,8,2,Collectible product or theme,Monitor and curate relevant listings
app bugs,App Bugs,False,football,#663300,1,-2.0,Very Negative,50.35,RISING,30.14,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,1,2,Collectible product or theme,Monitor and curate relevant listings
art focus,Art Focus,False,magic_the_gathering,#000000,1,0.0,Neutral,42.35,STEADY,57.94,MONITOR - Emerging Opportunity,1.0,0.0,100.0,100.0,1,10,Collectible product or theme,Monitor and curate relevant listings
artist identification,Artist Identification,False,general,#808080,1,1.0,Very Positive,40.35,STEADY,46.64,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,0,5,Collectible product or theme,Monitor and curate relevant listings
artist recognition,Artist Recognition,False,general,#808080,1,2.0,Very Positive,50.35,RISING,58.14,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,1,6,Collectible product or theme,Monitor and curate relevant listings
artwork,Artwork,False,general,#808080,1,1.0,Very Positive,50.35,RISING,70.64,HIGH PRIORITY - Curate Listings,1.0,0.0,100.0,100.0,1,6,Collectible product or theme,Monitor and curate relevant listings
augmented reality,Augmented Reality,False,basketball,#FF6600,3,1.0,Very Positive,51.02,RISING,52.91,MONITOR - Emerging Opportunity,3.0,0.0,300.0,0.0,3,2,Collectible product or theme,Monitor and curate relevant listings
authentication,Authentication,False,pokemon,#FFCB05,3,0.33,Positive,51.02,RISING,59.24,MONITOR - Emerging Opportunity,3.0,0.0,300.0,66.67,3,5,People verifying card authenticity,Partner with authentication services
authenticity,Authenticity,False,pokemon,#FFCB05,9,-0.67,Very Negative,49.7,STEADY,53.21,MONITOR - Emerging Opportunity,9.0,0.0,900.0,66.67,6,3,Collectible product or theme,Monitor and curate relevant listings
autograph cards,Autograph Cards,False,baseball,#C41E3A,1,-1.0,Very Negative,42.35,STEADY,30.44,LOW PRIORITY - Track for Changes,1.0,0.0,100.0,0.0,1,9,Collectible product or theme,Monitor and curate relevant listings
autograph parallels,Autograph Parallels,False,baseball,#C41E3A,1,1.0,Very Positive,42.35,STEADY,45.44,MONITOR - Emerging Opportunity,1.0,0.0,100.0,0.0,1,8,Collectible product or theme,Monitor and curate relevant listings
autographs,Autographs,False,general,#808080,2,0.5,Very Positive,50.69,RISING,67.02,HIGH PRIORITY - Curate Listings,2.0,0.0,200.0,100.0,2,5,Autographed card discussions,Promote authenticated autograph collections
